,stock,date,intraperiod,frequency,open,high,low,close,volume,adj_open,adj_high,adj_low,adj_close,adj_volume
0,KL,2019-09-30,False,monthly,49.8,51.08,42.29,44.8,33668797.0,49.75619089509566,51.0350648779415,42.25279744886738,44.8,33668797.0
1,KL,2019-08-31,False,monthly,40.66,51.03,40.5,48.76,35450792.0,40.624231361337145,50.985108862986586,40.46437211348142,48.71710578403343,35450792.0
2,KL,2019-07-31,False,monthly,41.28,47.21,40.05,41.29,30664996.0,41.24368594677809,47.16846932043106,40.01476797888718,41.253677149769075,30664996.0
3,KL,2019-06-30,False,monthly,35.47,44.04,34.7036,42.92,37258892.0,35.40547420976069,43.95988396385285,34.64046841798283,42.88224323729932,37258892.0
4,KL,2019-05-31,False,monthly,32.19,35.2,30.57,34.51,34138542.0,32.13144107167174,35.13596538436922,30.51438811932293,34.4472206083688,34138542.0
5,KL,2019-04-30,False,monthly,30.35,33.37,29.15,32.32,24636384.0,30.29478833567062,33.30929445671593,29.09697133393076,32.26120458019356,24636384.0
6,KL,2019-03-31,False,monthly,36.2,36.6151,30.375,30.41,31884726.0,36.08724920913408,36.50105631263439,30.319742856540202,30.354679185757615,31884726.0
7,KL,2019-02-28,False,monthly,32.03,36.74,31.2,36.65,26211270.0,31.930237352722774,36.62556729125928,31.102822522789587,36.53584761090507,26211270.0
8,KL,2019-01-31,False,monthly,26.17,32.17,24.69,32.17,21302502.0,26.08848927632704,32.06980129994042,24.61309897716907,32.06980129994042,21302502.0
9,KL,2018-12-31,False,monthly,21.29,26.47,21.29,26.09,25418851.0,21.19012032301242,26.34581892673268,21.19012032301242,26.008738449345525,25418851.0
10,KL,2018-11-30,False,monthly,20.01,20.79,18.12,20.78,20740994.0,19.91612530124371,20.692466017634015,18.034992026913343,20.68251293152645,20740994.0
11,KL,2018-10-31,False,monthly,18.88,22.34,18.23,19.56,26769684.0,18.791426571088515,22.23519436430707,18.144475974096594,19.468236426403145,26769684.0
12,KL,2018-09-30,False,monthly,18.11,19.67,17.26,18.99,47360310.0,17.996306147595135,19.54651253027037,17.151642413445174,18.900910518271765,47360310.0
13,KL,2018-08-31,False,monthly,22.14,23.86,18.47,18.66,25218458.0,22.001005969506146,23.710207878609605,18.354046082058648,18.542853269692174,25218458.0
14,KL,2018-07-31,False,monthly,21.0,23.33,20.74,21.93,12554809.0,20.86816284370502,23.183535197316097,20.609795113259143,21.792324341069097,12554809.0
15,KL,2018-06-30,False,monthly,18.33,21.27,18.26,21.12,11512504.0,18.188151466306902,21.136467794552654,18.118693168290456,20.98740948852619,11512504.0
16,KL,2018-05-31,False,monthly,17.48,19.83,17.16,18.37,12341699.0,17.344729276107184,19.676543566659348,17.027205628031993,18.2278419223163,12341699.0
17,KL,2018-04-30,False,monthly,15.61,17.74,14.864,17.45,14388413.0,15.489200457667797,17.60271724016827,14.748973453092516,17.314961434100134,14388413.0
18,KL,2018-03-31,False,monthly,15.5,16.33,14.56,15.46,16712555.0,15.364194430494834,16.18692226128907,14.432430381161598,15.340361247632554,16712555.0
19,KL,2018-02-28,False,monthly,15.0,16.31,13.094,15.72,16475853.0,14.86857525531758,16.167097494281983,12.979274959541893,15.582266867572825,16475853.0
20,KL,2018-01-31,False,monthly,15.57,16.89,14.65,15.09,15310572.0,15.43358111501965,16.742015737487595,14.521641832693504,14.957786706849486,15310572.0
21,KL,2017-12-31,False,monthly,14.41,15.42,13.03,15.36,11488531.0,14.268774111507822,15.284895362466473,12.902298866963699,15.225421061445202,11488531.0
22,KL,2017-11-30,False,monthly,11.8,14.99,11.79,14.3,15419436.0,11.68435354030481,14.84308979399738,11.674451545779126,14.159852171725321,15419436.0
23,KL,2017-10-31,False,monthly,12.9,15.19,11.52,11.77,14143533.0,12.773572938129835,15.041129684511022,11.407097693585712,11.654647556727763,14143533.0
24,KL,2017-09-30,False,monthly,13.25,13.73,12.32,12.92,9375530.0,13.112079976366454,13.587083628340485,12.191760400666771,12.793376927181198,9375530.0
25,KL,2017-08-31,False,monthly,10.67,13.14,10.61,13.06,4447814.0,10.558935347006042,13.003224972789072,10.499559890509289,12.924057697460068,4447814.0
26,RH,2019-09-30,False,monthly,141.85,175.289,138.2,170.83,25447484.0,141.85,175.289,138.2,170.83,25447484.0
27,RH,2019-08-31,False,monthly,143.23,149.76,131.92,143.25,15068144.0,143.23,149.76,131.92,143.25,15068144.0
28,RH,2019-07-31,False,monthly,117.66,141.99,116.84,139.4,14169568.0,117.66,141.99,116.84,139.4,14169568.0
29,RH,2019-06-30,False,monthly,84.97,121.75,84.35,115.6,28278170.0,84.97,121.75,84.35,115.6,28278170.0
30,RH,2019-05-31,False,monthly,106.8,109.975,84.11,85.15,17965490.0,106.8,109.975,84.11,85.15,17965490.0
31,RH,2019-04-30,False,monthly,104.5,120.0865,100.15,106.71,34128510.0,104.5,120.0865,100.15,106.71,34128510.0
32,RH,2019-03-31,False,monthly,155.71,157.71,102.19,102.95,31139507.0,155.71,157.71,102.19,102.95,31139507.0
33,RH,2019-02-28,False,monthly,136.01,155.565,131.04,153.59,12447704.0,136.01,155.565,131.04,153.59,12447704.0
34,RH,2019-01-31,False,monthly,117.66,145.79,112.26,135.87,19797435.0,117.66,145.79,112.26,135.87,19797435.0
35,RH,2018-12-31,False,monthly,124.5,148.54,107.26,119.82,29410305.0,124.5,148.54,107.26,119.82,29410305.0
36,RH,2018-11-30,False,monthly,115.65,132.52,104.15,116.14,15276162.0,115.65,132.52,104.15,116.14,15276162.0
37,RH,2018-10-31,False,monthly,131.17,132.46,103.72,115.71,26337741.0,131.17,132.46,103.72,115.71,26337741.0
38,RH,2018-09-30,False,monthly,161.78,162.1,122.1,131.01,32801131.0,161.78,162.1,122.1,131.01,32801131.0
39,RH,2018-08-31,False,monthly,134.88,161.39,130.0,159.0,15124990.0,134.88,161.39,130.0,159.0,15124990.0
40,RH,2018-07-31,False,monthly,139.34,145.47,128.2,135.86,18221071.0,139.34,145.47,128.2,135.86,18221071.0
41,RH,2018-06-30,False,monthly,97.78,164.49,96.63,139.7,41053083.0,97.78,164.49,96.63,139.7,41053083.0
42,RH,2018-05-31,False,monthly,95.15,106.4,92.82,97.73,13535980.0,95.15,106.4,92.82,97.73,13535980.0
43,RH,2018-04-30,False,monthly,95.25,97.52,84.19,95.45,14540770.0,95.25,97.52,84.19,95.45,14540770.0
44,RH,2018-03-31,False,monthly,84.88,96.78,74.5,95.28,29322814.0,84.88,96.78,74.5,95.28,29322814.0
45,RH,2018-02-28,False,monthly,93.55,94.9,82.98,84.88,19459661.0,93.55,94.9,82.98,84.88,19459661.0
46,RH,2018-01-31,False,monthly,86.64,105.46,85.5,93.99,20035900.0,86.64,105.46,85.5,93.99,20035900.0
47,RH,2017-12-31,False,monthly,100.48,109.53,85.59,86.21,22423086.0,100.48,109.53,85.59,86.21,22423086.0
48,RH,2017-11-30,False,monthly,90.51,107.48,81.0,101.39,31320923.0,90.51,107.48,81.0,101.39,31320923.0
49,RH,2017-10-31,False,monthly,70.31,91.81,68.785,89.92,24347906.0,70.31,91.81,68.785,89.92,24347906.0
50,RH,2017-09-30,False,monthly,46.67,75.45,45.74,70.32,48413751.0,46.67,75.45,45.74,70.32,48413751.0
51,RH,2017-08-31,False,monthly,65.13,65.9499,44.0,46.79,28399208.0,65.13,65.9499,44.0,46.79,28399208.0
52,RH,2017-07-31,False,monthly,65.19,79.91,59.12,65.13,46007341.0,65.19,79.91,59.12,65.13,46007341.0
53,RH,2017-06-30,False,monthly,55.43,67.6907,41.52,64.52,81515200.0,55.43,67.6907,41.52,64.52,81515200.0
54,RH,2017-05-31,False,monthly,47.93,60.109,47.19,56.11,30556825.0,47.93,60.109,47.19,56.11,30556825.0
55,RH,2017-04-30,False,monthly,46.28,49.75,45.31,47.97,25854636.0,46.28,49.75,45.31,47.97,25854636.0
56,RH,2017-03-31,False,monthly,30.82,46.455,29.86,46.26,52796614.0,30.82,46.455,29.86,46.26,52796614.0
57,RH,2017-02-28,False,monthly,27.03,33.0,24.41,30.44,60653247.0,27.03,33.0,24.41,30.44,60653247.0
58,RH,2017-01-31,False,monthly,30.8,31.88,25.29,27.02,29668205.0,30.8,31.88,25.29,27.02,29668205.0
59,RH,2016-12-31,False,monthly,35.88,39.28,29.95,30.7,58806850.0,35.88,39.28,29.95,30.7,58806850.0
60,RH,2016-11-30,False,monthly,29.02,37.79,27.5,36.05,35744292.0,29.02,37.79,27.5,36.05,35744292.0
