Date,Open,High,Low,Close,Adj Close,Volume,Model_Predict
4/15/2014,17.9,17.92,15.15,15.35,15.35,3531700,
4/16/2014,15.35,16.09,15.21,15.62,15.62,266500,15.35239505
4/17/2014,15.95,16.549999,15.71,16.25,16.25,262100,15.62239505
4/21/2014,16.59,16.59,16.01,16.1,16.1,78000,16.25239505
4/22/2014,16.200001,16.688999,15.76,15.98,15.98,96100,16.10239505
4/23/2014,15.82,16.18,15.8,16.07,16.07,56500,15.98239505
4/24/2014,16.280001,16.299999,15.75,15.75,15.75,42800,16.07239505
4/25/2014,15.75,15.75,15.25,15.3,15.3,71600,15.75239505
4/28/2014,15.43,15.66,14.51,14.97,14.97,197500,15.30239505
4/29/2014,15.01,15.45,15.01,15.28,15.28,68500,14.97239505
4/30/2014,15.17,15.51,15.06,15.41,15.41,53600,15.28239505
5/1/2014,15.29,15.9,15.29,15.67,15.67,39900,15.41239505
5/2/2014,15.69,16.056,15.69,15.8,15.8,22300,23.34859259
5/5/2014,15.69,15.99,15.678,15.68,15.68,13300,16.07239346
5/6/2014,15.63,15.63,15.25,15.31,15.31,31900,16.31239131
5/7/2014,15.26,15.29,14.95,15.05,15.05,92600,15.16239596
5/8/2014,15.25,15.328,15.18,15.18,15.18,18600,14.93239579
5/9/2014,15.12,15.17,14.12,14.51,14.51,76000,15.27239453
5/12/2014,14.73,14.87,14.09,14.09,14.09,111200,14.19239698
5/13/2014,14.57,14.872,13.675,13.87,13.87,90800,13.64239776
5/14/2014,14.15,14.29,13.91,14.07,14.07,105600,13.54239704
5/15/2014,14,14.31,13.61,14.29,14.29,110100,14.38239322
5/16/2014,14.29,14.68,13.57,13.81,13.81,119700,14.42239429
5/19/2014,13.85,13.85,13.1,13.24,13.24,202500,14.07239352
5/20/2014,13.5,14.3,13.37,14,14,141100,13.3724852
5/21/2014,14.25,14.25,13.87,14,14,47400,14.0785687
5/22/2014,13.91,15.61,13.845,15.38,15.38,85300,14.13353175
5/23/2014,15.35,15.35,14.31,14.53,14.53,352700,15.17858643
5/27/2014,14.57,14.81,13.76,14.03,14.03,68100,14.53860751
5/28/2014,14.08,14.08,13.12,13.25,13.25,244000,13.74354748
5/29/2014,13.45,13.82,13.43,13.48,13.48,64600,12.88358752
5/30/2014,13.41,13.525,13.24,13.35,13.35,76100,13.14860732
6/2/2014,13.49,13.83,13.175,13.54,13.54,47600,13.28862461
6/3/2014,13.74,14.11,13.43,14.03,14.03,84800,13.80858623
6/4/2014,14,14.443,13.59,14.3,14.3,73700,13.85855618
6/5/2014,13.01,14.43,13.01,14.17,14.17,67600,14.14854285
6/6/2014,14.33,14.5,13.89,14.45,14.45,42500,14.61867363
6/9/2014,14.45,14.675,14.19,14.64,14.64,104500,14.50476371
6/10/2014,14.65,14.67,14.35,14.43,14.43,59700,15.19158244
6/11/2014,14.35,14.54,14.25,14.46,14.46,24900,14.01469952
6/12/2014,14.46,14.47,13.913,13.97,13.97,120500,14.30139891
6/13/2014,14.07,14.07,13.4,14,14,65100,13.52136089
6/16/2014,14.57,14.61,14.246,14.44,14.44,106800,13.83486627
6/17/2014,14.34,14.376,13.45,14,14,98200,14.17816012
6/18/2014,13.79,14.39,13.72,14.17,14.17,78400,14.02484498
6/19/2014,14.13,14.3,14.12,14.29,14.29,55100,14.5148154
6/20/2014,14.36,14.71,14.12,14.12,14.12,186900,14.26815804
6/23/2014,14.2,14.65,14.09,14.64,14.64,58600,13.97809315
6/24/2014,14.56,15,14.5,14.7,14.7,130300,15.03482176
6/25/2014,14.65,14.74,14.17,14.72,14.72,59200,14.79099633
6/26/2014,14.68,15.16,14.56,14.72,14.72,91900,15.08342144
6/27/2014,14.84,15.22,13.98,13.98,13.98,767300,14.4185135
6/30/2014,14.27,14.66,13.91,14.59,14.59,169500,13.74087442
7/1/2014,14.62,14.737,14.16,14.6,14.6,56100,14.26351656
7/2/2014,14.54,14.57,14.2,14.25,14.25,52400,14.58867224
7/3/2014,14.27,14.72,14.27,14.68,14.68,23300,13.94597761
