Date,Open,High,Low,Close,Adj Close,Volume,Model_Predict
11/2/2012,32.049999,33.150002,30.32,31.1,31.1,6838100,
11/5/2012,31.190001,33.34,30.860001,33.299999,33.299999,570300,31.10150109
11/6/2012,33.400002,33.900002,32.200001,33.299999,33.299999,462100,33.30150009
11/7/2012,32.549999,33.080002,32.029999,32.450001,32.450001,111700,33.30150009
11/8/2012,32.029999,33.509998,32,33.080002,33.080002,200200,32.45150209
11/9/2012,32.52,32.52,31.5,32.130001,32.130001,335700,33.08150309
11/12/2012,32.130001,32.650002,31.639999,32.240002,32.240002,237400,32.13150209
11/13/2012,31.9,32.5,31.74,32.41,32.41,161800,32.24150309
11/14/2012,32.75,33.799999,32.549999,33.389999,33.389999,215600,32.41150109
11/15/2012,32.700001,33.959999,32.700001,33.630001,33.630001,242600,33.39150009
11/16/2012,33.82,35.18,33.720001,34.450001,34.450001,183400,33.63150209
11/19/2012,34.799999,35.279999,34.32,34.57,34.57,141700,34.45150209
11/20/2012,34.700001,35.630001,34.529999,35.080002,35.080002,70300,50.12225166
11/21/2012,35.450001,35.450001,34.93,35.119999,35.119999,61200,37.28148597
11/23/2012,35.400002,35.549999,35.290001,35.490002,35.490002,80000,35.12150011
11/26/2012,35.5,38.330002,35.41,37.990002,37.990002,469700,34.64151134
11/27/2012,37.5,37.639999,35.299999,35.779999,35.779999,613700,38.62149949
11/28/2012,35.75,36.93,35.610001,36.900002,36.900002,156400,34.83150607
11/29/2012,37,37.139999,36.5,37,37,71600,37.0115033
11/30/2012,37,37.810001,36.689999,36.900002,36.900002,88000,37.17149786
12/3/2012,37.400002,37.400002,36.529999,36.740002,36.740002,117400,37.88149492
12/4/2012,36.360001,36.700001,35.860001,36.700001,36.700001,179100,36.98150335
12/5/2012,36.299999,37.200001,35.77,36,36,111700,37.52149609
12/6/2012,36.25,37,35.490002,36.720001,36.720001,223800,36.12149923
12/7/2012,37.200001,37.310001,36.650002,36.740002,36.740002,200800,37.23172471
12/10/2012,37.16,37.470001,36.32,36.5,36.5,327400,37.86207046
12/11/2012,36.700001,36.919998,35.82,36.060001,36.060001,158400,36.68728266
12/12/2012,36.439999,37.02,35.720001,36.689999,36.689999,311000,36.88752496
12/13/2012,33.5,36.32,33.200001,34.900002,34.900002,1878900,35.90201975
12/14/2012,34.5,35.740002,34.450001,34.509998,34.509998,176800,34.98742381
12/17/2012,33.610001,34.919998,33.610001,33.720001,33.720001,170900,34.61724782
12/18/2012,33.860001,33.950001,31.719999,32.700001,32.700001,647000,33.75723028
12/19/2012,31.559999,33.240002,31.559999,32.970001,32.970001,270800,33.11215713
12/20/2012,32.860001,32.950001,31.68,32,32,300600,33.07222972
12/21/2012,31.15,31.74,30.92,31.49,31.49,816500,32.06212628
12/24/2012,31.59,32.880001,31.360001,32.349998,32.349998,112300,31.91229914
12/26/2012,32.43,32.639999,32.099998,32.369999,32.369999,149500,32.61732297
12/27/2012,32.290001,32.880001,32.189999,32.759998,32.759998,107600,33.03929823
12/28/2012,32.700001,34.5,32.599998,33.889999,33.889999,229100,32.73957419
12/31/2012,33.889999,34.259998,33.5,33.73,33.73,102400,34.65314627
1/2/2013,33.799999,34.200001,33.139999,33.23,33.23,207900,32.60933434
1/3/2013,33.41,34.490002,33.23,34.389999,34.389999,155400,33.15969445
1/4/2013,34.360001,34.880001,33.68,34.290001,34.290001,231400,34.19950504
1/7/2013,34.23,35.439999,32.919998,32.970001,32.970001,172300,33.97613002
1/8/2013,32.849998,33.549999,31.940001,32.189999,32.189999,170000,33.33624709
1/9/2013,32.07,33.5,31.93,33.049999,33.049999,85900,31.9361246
1/10/2013,33.400002,33.919998,32.509998,32.779999,32.779999,106900,32.92281393
1/11/2013,32.950001,33.18,32.450001,32.82,32.82,79600,33.34977818
1/14/2013,33.049999,33.049999,32.25,32.799999,32.799999,67700,33.00634012
1/15/2013,32.560001,33.209999,32.240002,32.549999,32.549999,82500,33.40089434
1/16/2013,32.59,32.59,31.6,32.299999,32.299999,81700,32.81901173
1/17/2013,32.59,34,32.360001,33.98,33.98,142300,32.8335966
1/18/2013,33.790001,35.549999,33.59,35.16,35.16,204300,33.01617948
1/22/2013,35,36.220001,35,35.73,35.73,50400,35.39912378
1/23/2013,35.860001,36.049999,35.200001,35.700001,35.700001,56600,35.56365703
1/24/2013,35.880001,36.240002,35.529999,36.23,36.23,28100,35.13581092
1/25/2013,36.400002,36.700001,35.77,36.080002,36.080002,58000,36.31085711
1/28/2013,36,36.330002,35.75,35.84,35.84,45200,36.10641608
1/29/2013,35.869999,36.75,35.759998,36.09,36.09,76500,35.67857142
1/30/2013,36.299999,36.299999,35.75,36.130001,36.130001,25100,36.52868411
1/31/2013,36.450001,36.689999,35.34,36,36,69900,36.26619798
2/1/2013,36.25,36.310001,35.330002,36.23,36.23,77500,36.43188319
2/4/2013,36.110001,36.880001,35.880001,36.389999,36.389999,46100,36.39650745
2/5/2013,36.580002,39.459999,36.43,37.509998,37.509998,157800,37.15482861
2/6/2013,37.43,39.389999,37.43,38.919998,38.919998,77000,36.97728464
2/7/2013,39,39.169998,38.560001,38.950001,38.950001,66800,39.22692807
2/8/2013,39.040001,39.25,38.849998,39.080002,39.080002,69600,38.81248146
2/11/2013,39.220001,39.990002,38.57,39.169998,39.169998,64000,38.73658056
2/12/2013,39.349998,39.77,39.259998,39.529999,39.529999,140500,39.20609452
2/13/2013,39.720001,39.959999,39.380001,39.439999,39.439999,80800,39.50452633
2/14/2013,39.279999,39.419998,38.560001,38.84,38.84,105600,39.36251882
2/15/2013,39.150002,39.150002,38.09,38.34,38.34,68700,39.200292
2/19/2013,38.48,39.330002,38.32,38.830002,38.830002,39300,38.42435401
2/20/2013,39.07,39.23,38.009998,38.060001,38.060001,66800,39.22963813
2/21/2013,38.119999,38.169998,36.330002,36.779999,36.779999,211500,38.22692155
2/22/2013,36.869999,37.169998,36.34,37.009998,37.009998,64900,37.60570221
2/25/2013,36.93,36.93,35.23,35.650002,35.650002,113800,36.80354274
2/26/2013,35.709999,36.950001,35.599998,36.209999,36.209999,157200,35.91214018
2/27/2013,36.16,36.52,35.900002,36.450001,36.450001,38600,36.11870109
2/28/2013,36.41,38.68,36.25,38.610001,38.610001,89800,36.18053362
3/1/2013,38.279999,38.279999,36.700001,37.560001,37.560001,95100,38.70174466
3/4/2013,37.400002,39.48,37.299999,39.439999,39.439999,75300,37.5252426
3/5/2013,39.439999,39.880001,38.540001,39.549999,39.549999,152300,39.27667216
3/6/2013,39.490002,39.919998,38.540001,39.580002,39.580002,33000,39.76797991
3/7/2013,39.5,39.73,39.279999,39.549999,39.549999,30700,39.73366786
3/8/2013,40,40.450001,38.150002,38.57,38.57,204900,39.78333436
3/11/2013,38.580002,39.18,37.990002,38.75,38.75,90900,38.53083905
3/12/2013,38.939999,38.939999,38.240002,38.310001,38.310001,65400,39.49174166
3/13/2013,38.299999,38.470001,36.860001,37.849998,37.849998,156800,37.93955423
3/14/2013,37.990002,38.48,37.790001,38.299999,38.299999,60100,38.15636956
3/15/2013,39.549999,39.549999,36.630001,37,37,135900,38.25773209
3/18/2013,36.950001,36.950001,36.209999,36.66,36.66,54900,37.080577
3/19/2013,37.209999,37.369999,35.68,35.790001,35.790001,65200,36.58944462
3/20/2013,35.790001,36.23,34.439999,34.75,34.75,165100,36.03144402
