Date,Open,High,Low,Close,Adj Close,Volume,Stock_Name
1/3/2007,10.1225,10.3275,9.97,10.1525,10.1525,3268000,ALXN
1/4/2007,10.125,10.2325,10.005,10.1825,10.1825,1785200,ALXN
1/5/2007,10.15,10.365,10.0575,10.115,10.115,3026400,ALXN
1/8/2007,10.0925,10.135,9.8225,9.8375,9.8375,2312400,ALXN
1/9/2007,9.86,9.87,9.655,9.7625,9.7625,3556000,ALXN
1/10/2007,9.72,10.12,9.6925,10.095,10.095,3366000,ALXN
1/11/2007,10.1175,10.2725,10.04,10.22,10.22,2340800,ALXN
1/12/2007,10.24,10.32,10.1775,10.2875,10.2875,1527600,ALXN
1/16/2007,10.3225,10.4725,10.2975,10.4175,10.4175,1848800,ALXN
1/17/2007,10.4125,10.6725,10.3875,10.63,10.63,2997600,ALXN
1/18/2007,10.6225,10.6625,10.4675,10.505,10.505,1517200,ALXN
1/19/2007,10.48,10.7425,10.4725,10.7175,10.7175,1551600,ALXN
1/22/2007,10.6875,10.7175,10.4875,10.54,10.54,2526800,ALXN
1/23/2007,10.5225,10.625,10.4575,10.59,10.59,1520000,ALXN
1/24/2007,10.6175,10.69,10.525,10.58,10.58,1351200,ALXN
1/25/2007,10.6225,10.6225,10.4775,10.495,10.495,1362400,ALXN
1/26/2007,10.5325,10.565,10.3275,10.3925,10.3925,1149600,ALXN
1/29/2007,10.3925,10.58,10.31,10.3325,10.3325,1412000,ALXN
1/30/2007,10.35,10.41,10.265,10.2775,10.2775,901600,ALXN
1/31/2007,10.2725,10.455,10.19,10.3925,10.3925,860400,ALXN
2/1/2007,10.4425,10.67,10.4025,10.6075,10.6075,2680000,ALXN
2/2/2007,10.645,10.675,10.4025,10.485,10.485,945600,ALXN
2/5/2007,10.5125,10.72,10.195,10.225,10.225,2563600,ALXN
2/6/2007,10.235,10.35,10.2,10.34,10.34,3530400,ALXN
2/7/2007,10.335,10.4025,10.21,10.3025,10.3025,1948000,ALXN
2/8/2007,10.265,10.33,10.1025,10.1675,10.1675,1744400,ALXN
2/9/2007,10.1775,10.19,9.95,9.9775,9.9775,1711200,ALXN
2/12/2007,10.0125,10.0825,9.7975,9.91,9.91,2265200,ALXN
2/13/2007,9.895,10.0475,9.8325,9.9125,9.9125,1246800,ALXN
2/14/2007,9.9075,10.035,9.835,9.855,9.855,1484800,ALXN
2/15/2007,9.945,10,9.8075,9.895,9.895,2840800,ALXN
2/16/2007,9.8125,9.815,9.6,9.76,9.76,3585600,ALXN
2/20/2007,9.7625,9.8425,9.5675,9.7525,9.7525,2679600,ALXN
2/21/2007,9.7125,9.795,9.6275,9.735,9.735,1041200,ALXN
2/22/2007,9.7375,9.815,9.565,9.72,9.72,1548400,ALXN
2/23/2007,9.7325,9.79,9.6025,9.7275,9.7275,1482000,ALXN
2/26/2007,9.7275,9.7525,9.57,9.655,9.655,1280000,ALXN
2/27/2007,9.5675,9.7875,9.26,9.325,9.325,3759200,ALXN
2/28/2007,9.375,9.375,9.12,9.22,9.22,2058800,ALXN
3/1/2007,9.125,9.2875,9.0475,9.2575,9.2575,3526400,ALXN
3/2/2007,9.25,9.335,8.94,8.9825,8.9825,2004000,ALXN
3/5/2007,8.915,9.175,8.8875,8.9425,8.9425,1906800,ALXN
3/6/2007,8.98,9.09,8.7825,9.0725,9.0725,2990400,ALXN
3/7/2007,9.0725,9.2225,9.06,9.1425,9.1425,2311200,ALXN
3/8/2007,9.25,9.455,9.1425,9.35,9.35,2114400,ALXN
3/9/2007,9.4425,9.4425,9.1925,9.27,9.27,1194800,ALXN
3/12/2007,9.2325,9.4125,9.23,9.375,9.375,1574800,ALXN
3/13/2007,9.3275,9.3975,9.0625,9.07,9.07,2249600,ALXN
3/14/2007,9.07,9.2675,8.9575,9.2525,9.2525,2996400,ALXN
3/15/2007,9.2575,9.385,9.2225,9.3425,9.3425,1870400,ALXN
3/16/2007,9.34,10.1,9.275,10.0375,10.0375,18148800,ALXN
3/19/2007,10.085,10.175,9.6875,9.75,9.75,5558000,ALXN
3/20/2007,9.7225,9.98,9.7075,9.84,9.84,2829200,ALXN
3/21/2007,9.8925,9.93,9.7825,9.8225,9.8225,2887600,ALXN
3/22/2007,9.835,10.1775,9.7575,10.1375,10.1375,4693200,ALXN
3/23/2007,10.155,10.1975,9.7525,10.0175,10.0175,2106000,ALXN
3/26/2007,11.3775,11.445,10.9075,10.945,10.945,24498800,ALXN
3/27/2007,10.8775,11.0025,10.75,10.87,10.87,5686400,ALXN
3/28/2007,10.8,10.895,10.745,10.7925,10.7925,3078800,ALXN
3/29/2007,10.82,10.9425,10.815,10.915,10.915,3789200,ALXN
3/30/2007,10.88,11,10.755,10.81,10.81,3410000,ALXN
4/2/2007,10.785,10.87,10.5625,10.72,10.72,3885600,ALXN
4/3/2007,10.7425,11.0825,10.6275,10.8825,10.8825,3693200,ALXN
4/4/2007,10.8575,10.985,10.815,10.955,10.955,2126800,ALXN
4/5/2007,11.02,11.25,10.9575,11.115,11.115,2601600,ALXN
4/9/2007,11.09,11.1,10.955,11.005,11.005,1708000,ALXN
4/10/2007,10.975,11.1925,10.95,11.095,11.095,1676000,ALXN
4/11/2007,11.06,11.065,10.88,11.0475,11.0475,2855600,ALXN
4/12/2007,10.9925,11.1475,10.8875,11.14,11.14,3518800,ALXN
4/13/2007,11.1225,11.2475,11.0875,11.24,11.24,2490000,ALXN
4/16/2007,11.25,11.25,11.18,11.2125,11.2125,1614400,ALXN
4/17/2007,11.245,11.245,10.9675,10.9825,10.9825,2664800,ALXN
4/18/2007,11.005,11.065,10.8625,10.895,10.895,1835200,ALXN
4/19/2007,10.88,11.04,10.7975,10.8525,10.8525,1376000,ALXN
4/20/2007,10.9175,10.9925,10.895,10.95,10.95,1296800,ALXN
4/23/2007,10.95,11.085,10.95,10.9925,10.9925,1103200,ALXN
4/24/2007,11.0575,11.095,10.78,10.87,10.87,2948400,ALXN
4/25/2007,10.9175,10.925,10.685,10.7325,10.7325,2101200,ALXN
4/26/2007,10.735,10.755,10.5375,10.7525,10.7525,2468000,ALXN
4/27/2007,10.8575,10.9325,10.5925,10.6375,10.6375,2203600,ALXN
4/30/2007,10.62,10.7275,10.43,10.465,10.465,2348800,ALXN
5/1/2007,10.625,10.725,10.2375,10.6775,10.6775,4076800,ALXN
5/2/2007,10.6775,10.9525,10.6775,10.895,10.895,2931600,ALXN
5/3/2007,10.915,10.935,10.77,10.84,10.84,1499600,ALXN
5/4/2007,10.895,11.7275,10.8375,11.4725,11.4725,6998400,ALXN
5/7/2007,11.4,11.575,11.3125,11.5125,11.5125,4086000,ALXN
5/8/2007,11.5125,11.86,11.475,11.8425,11.8425,5523600,ALXN
5/9/2007,11.7625,12.08,11.7575,12.0475,12.0475,4464400,ALXN
