Stock_,Open,High,Low,Close,Adj Close,Volume,Stock_Name
6/6/2014,55.25,60,55,55,55,7255100,ANET
6/9/2014,56.25,57,55,55.200001,55.200001,716900,ANET
6/10/2014,55.25,60,55.25,60,60,986800,ANET
6/11/2014,60,63.5,58.66,63.5,63.5,660500,ANET
6/12/2014,63.650002,67.830002,63.07,66,66,729300,ANET
6/13/2014,68.470001,72,67,69.580002,69.580002,1065700,ANET
6/16/2014,71.220001,71.5,67.635002,71.5,71.5,417000,ANET
6/17/2014,71.889999,72.629997,69,69.709999,69.709999,278600,ANET
6/18/2014,70.07,71,67.879997,68.959999,68.959999,208800,ANET
6/19/2014,68.029999,68.809998,64.510002,65.669998,65.669998,651600,ANET
6/20/2014,65.050003,68.5,64.5,65.150002,65.150002,294000,ANET
6/23/2014,65.019997,67.489998,65.019997,65.709999,65.709999,116500,ANET
6/24/2014,66.349998,66.75,63.869999,64.279999,64.279999,192800,ANET
6/25/2014,63.810001,65.358002,62,64.489998,64.489998,186200,ANET
6/26/2014,64.809998,64.809998,62.5,63.810001,63.810001,97100,ANET
6/27/2014,63.91,63.91,62.25,62.549999,62.549999,244700,ANET
6/30/2014,62.07,65.199997,62.07,62.389999,62.389999,232000,ANET
7/1/2014,66.970001,76.830002,66.099998,76,76,1658200,ANET
7/2/2014,78.739998,80.529999,73.199997,75.349998,75.349998,1126500,ANET
7/3/2014,76.440002,77.626999,74.099998,76.410004,76.410004,243900,ANET
7/7/2014,75.160004,77.290001,72.029999,72.169998,72.169998,316600,ANET
7/8/2014,71.93,72.050003,63.139999,69.43,69.43,1178700,ANET
7/9/2014,69.300003,72.900002,66.010002,71.900002,71.900002,372000,ANET
7/10/2014,67.519997,70.139999,67.124001,67.739998,67.739998,296800,ANET
7/11/2014,68.800003,70.5,68.349998,69.629997,69.629997,191700,ANET
7/14/2014,71.400002,72,68.529999,68.949997,68.949997,131000,ANET
7/15/2014,69.449997,70.559998,66,66.690002,66.690002,226100,ANET
7/16/2014,67.07,68,63.610001,64.529999,64.529999,247700,ANET
7/17/2014,63.889999,65.620003,63.110001,63.759998,63.759998,130200,ANET
7/18/2014,64.029999,64.900002,63.349998,64,64,123700,ANET
7/21/2014,64.129997,64.730003,63.009998,63.23,63.23,143700,ANET
7/22/2014,63.759998,66.959999,63.459999,65.510002,65.510002,235900,ANET
7/23/2014,65.889999,66.68,64.400002,64.82,64.82,147900,ANET
7/24/2014,65.110001,66.160004,63.77,64.25,64.25,182600,ANET
7/25/2014,64.150002,64.779999,62.509998,63.639999,63.639999,115600,ANET
7/28/2014,64.519997,64.543999,63.029999,63.41,63.41,67400,ANET
7/29/2014,63.59,64.050003,63.150002,63.849998,63.849998,106400,ANET
7/30/2014,64.480003,67.900002,63.970001,67.790001,67.790001,608100,ANET
7/31/2014,66.339996,67,65.110001,66.120003,66.120003,257700,ANET
8/1/2014,65.82,67.5,65.25,65.610001,65.610001,193700,ANET
8/4/2014,65.989998,69.5,65.68,69.230003,69.230003,255600,ANET
8/5/2014,68.830002,73,68.019997,72.089996,72.089996,402400,ANET
8/6/2014,71.379997,72.5,69.529999,70.82,70.82,225600,ANET
8/7/2014,71.769997,72.660004,71.183998,72.220001,72.220001,412600,ANET
8/8/2014,79.25,79.879997,71.5,72.029999,72.029999,1426400,ANET
8/11/2014,72.690002,73.400002,67.309998,69.860001,69.860001,740100,ANET
8/12/2014,69.480003,71.685997,69.480003,71.110001,71.110001,223000,ANET
8/13/2014,71.139999,71.970001,69.337997,69.839996,69.839996,273500,ANET
8/14/2014,69.730003,71.699997,68.800003,70.809998,70.809998,266600,ANET
8/15/2014,71.419998,71.419998,69.379997,69.82,69.82,141600,ANET
8/18/2014,70.849998,71.370003,69.25,70.510002,70.510002,175900,ANET
8/19/2014,70.739998,75.18,70.165001,75,75,478100,ANET
8/20/2014,74.330002,77.268997,72.901001,76.400002,76.400002,395900,ANET
8/21/2014,75.879997,78.389999,75.330002,77.349998,77.349998,435300,ANET
8/22/2014,76.489998,76.959999,75.25,75.620003,75.620003,177600,ANET
8/25/2014,76.050003,77.440002,74.809998,75.580002,75.580002,177400,ANET
8/26/2014,75.440002,76.769997,74.665001,76.169998,76.169998,162700,ANET
8/27/2014,75.989998,83.470001,75.970001,83.160004,83.160004,724200,ANET
8/28/2014,82.959999,83.889999,81.57,83.449997,83.449997,343300,ANET
8/29/2014,84.889999,85.789001,82.739998,83.849998,83.849998,330500,ANET
9/2/2014,85.139999,86.68,84.230003,86.099998,86.099998,329600,ANET
9/3/2014,87.160004,87.559998,84.910004,85.610001,85.610001,335300,ANET
9/4/2014,85.410004,89.300003,85.190002,87.489998,87.489998,322700,ANET
9/5/2014,87.419998,91.330002,86.129997,91.120003,91.120003,234800,ANET
9/8/2014,91.150002,93.940002,85.690002,87.660004,87.660004,740400,ANET
9/9/2014,88,88.882004,83.779999,84.279999,84.279999,339900,ANET
9/10/2014,84.989998,88.839996,83.139999,88.75,88.75,330800,ANET
9/11/2014,88.099998,90.889999,87.639999,88.75,88.75,180100,ANET
9/12/2014,88.889999,89.410004,85,86.269997,86.269997,195100,ANET
9/15/2014,87.32,88.25,82.540001,82.830002,82.830002,410000,ANET
9/16/2014,82.269997,85.339996,80.800003,84,84,268500,ANET
