Date,Open,High,Low,Close,Adj Close,Volume,Stock_Name
1/3/2007,12.797,13.22,12.797,13.22,13.22,3917,BOOT
1/4/2007,13.1,13.25,13.1,13.25,13.25,4656,BOOT
1/5/2007,13.11,13.25,13.11,13.2,13.2,2200,BOOT
1/8/2007,13.27,13.27,13.2,13.27,13.27,3664,BOOT
1/9/2007,13.26,13.26,13.197,13.26,13.26,1771,BOOT
1/10/2007,13.212,13.26,13.2,13.26,13.26,1000,BOOT
1/11/2007,13.27,13.27,13.2,13.2,13.2,1535,BOOT
1/12/2007,13.25,13.25,13.14,13.2,13.2,5100,BOOT
1/16/2007,13.06,13.27,13.06,13.2,13.2,7850,BOOT
1/17/2007,13.2,13.63,13.2,13.55,13.55,6165,BOOT
1/18/2007,13.39,13.58,13.37,13.48,13.48,6804,BOOT
1/19/2007,13.59,13.59,13.48,13.51,13.51,1860,BOOT
1/22/2007,13.6,13.6,13.5,13.6,13.6,5700,BOOT
1/23/2007,13.5,13.5,13.5,13.5,13.5,0,BOOT
1/24/2007,13.02,13.55,13.02,13.55,13.55,3300,BOOT
1/25/2007,13.5,13.55,13.5,13.55,13.55,8100,BOOT
1/26/2007,13.508,13.6,13.508,13.6,13.6,64501,BOOT
1/29/2007,13.556,13.6,13.556,13.6,13.6,4060,BOOT
1/30/2007,13.62,13.75,13.62,13.74,13.74,3500,BOOT
1/31/2007,13.75,13.75,13.7,13.7,13.7,9200,BOOT
2/1/2007,12.93,13.65,12.72,13.58,13.58,5670,BOOT
2/2/2007,13.2401,13.7399,13.2401,13.63,13.63,3010,BOOT
2/5/2007,13.74,13.8,13.65,13.65,13.65,2822,BOOT
2/6/2007,13.66,13.75,13.65,13.6578,13.6578,4630,BOOT
2/7/2007,13.8,13.82,13.65,13.65,13.65,16897,BOOT
2/8/2007,13.73,13.8,13.66,13.79,13.79,5668,BOOT
2/9/2007,13.73,13.8,13.7,13.7,13.7,9784,BOOT
2/12/2007,13.7,13.8,13.65,13.69,13.69,10830,BOOT
2/13/2007,13.7,13.85,13.63,13.7,13.7,5150,BOOT
2/14/2007,13.7,13.84,13.7,13.84,13.84,5800,BOOT
2/15/2007,13.85,13.85,13.7,13.84,13.84,5910,BOOT
2/16/2007,13.75,14.74,13.75,14.54,14.54,21621,BOOT
2/20/2007,14.54,15.64,14.54,15.64,15.64,39964,BOOT
2/21/2007,15.2,15.26,14.81,15.09,15.09,15330,BOOT
2/22/2007,15,15.23,14.51,15.1,15.1,8622,BOOT
2/23/2007,14.64,15.2,14.64,15.2,15.2,4869,BOOT
2/26/2007,15.16,15.2,14.99,15.2,15.2,12056,BOOT
2/27/2007,14.99,15.12,14.99,15.12,15.12,5197,BOOT
2/28/2007,14.79,15.06,14.79,15.06,15.06,2225,BOOT
3/1/2007,14.99,14.99,14.56,14.75,14.75,2941,BOOT
3/2/2007,14.8799,14.89,14.75,14.75,14.75,1100,BOOT
3/5/2007,14.87,15.06,14.87,15.06,15.06,4982,BOOT
3/6/2007,14.95,15.15,14.79,15.15,15.15,4096,BOOT
3/7/2007,15.15,15.24,15.15,15.24,15.24,4423,BOOT
3/8/2007,15.25,15.5,15.25,15.5,15.5,24850,BOOT
3/9/2007,15.58,15.58,15.005,15.58,15.58,14136,BOOT
3/12/2007,15.12,15.25,15.01,15.11,15.11,3234,BOOT
3/13/2007,15.52,15.52,14.81,15,15,5105,BOOT
3/14/2007,14.74,14.82,14.5,14.82,14.82,3617,BOOT
3/15/2007,14.75,15.05,14.75,15.05,15.05,1200,BOOT
3/16/2007,15.15,15.37,15.11,15.23,15.23,3799,BOOT
3/19/2007,15.26,15.4,15.26,15.4,15.4,3150,BOOT
3/20/2007,15.21,15.6,15.21,15.6,15.6,6000,BOOT
3/21/2007,15.6,15.6,15.55,15.6,15.6,1400,BOOT
