Date,Open,High,Low,Close,Adj Close,Volume,Stock_Name
1/3/2007,14.185,14.29,13.97,14.115,11.924511,1197600,BRO
1/4/2007,14.085,14.095,13.95,14.06,11.878047,862000,BRO
1/5/2007,14.025,14.13,13.955,14.05,11.8696,901800,BRO
1/8/2007,14.05,14.055,13.865,14,11.827357,963000,BRO
1/9/2007,13.965,13.99,13.875,13.95,11.785116,971000,BRO
1/10/2007,13.9,13.99,13.8,13.915,11.755551,614400,BRO
1/11/2007,13.945,14.04,13.82,14.025,11.84848,827000,BRO
1/12/2007,14.025,14.09,14.005,14.08,11.894939,460400,BRO
1/16/2007,14.095,14.225,14.045,14.125,11.93296,1049200,BRO
1/17/2007,14.075,14.105,14,14.05,11.8696,677200,BRO
1/18/2007,14.04,14.1,14,14.01,11.835809,895400,BRO
1/19/2007,13.96,14.15,13.925,14.125,11.93296,758000,BRO
1/22/2007,14.1,14.125,13.78,13.82,11.67529,1717400,BRO
1/23/2007,13.795,13.92,13.75,13.86,11.709085,949200,BRO
1/24/2007,13.875,14.015,13.84,14.015,11.840032,707000,BRO
1/25/2007,14.015,14.035,13.89,13.94,11.776671,1191800,BRO
1/26/2007,13.95,14.025,13.915,13.975,11.80624,631000,BRO
1/29/2007,13.93,14.045,13.93,14,11.827357,1136000,BRO
1/30/2007,14.04,14.075,14,14.06,11.878047,475200,BRO
1/31/2007,14.015,14.19,13.995,14.16,11.962526,855200,BRO
2/1/2007,14.17,14.38,14.17,14.33,12.106147,1317800,BRO
2/2/2007,14.31,14.38,14.215,14.37,12.139938,868200,BRO
2/5/2007,14.32,14.41,14.305,14.345,12.144172,938800,BRO
2/6/2007,14.35,14.4,14.285,14.38,12.173801,817600,BRO
2/7/2007,14.425,14.505,14.37,14.48,12.258462,677200,BRO
2/8/2007,14.485,14.51,14.37,14.455,12.237293,573400,BRO
2/9/2007,14.475,14.485,14.305,14.375,12.169571,733600,BRO
2/12/2007,14.4,14.425,14.145,14.22,12.038351,903400,BRO
2/13/2007,14.22,14.26,14.01,14.09,11.928295,1264000,BRO
2/14/2007,14.095,14.23,14.07,14.215,12.03412,1342600,BRO
2/15/2007,14.25,14.335,14.155,14.335,12.135707,1021200,BRO
2/16/2007,14.31,14.36,14.27,14.31,12.114543,829000,BRO
2/20/2007,14.27,14.285,14.105,14.22,12.038351,979600,BRO
2/21/2007,14.195,14.205,14.11,14.14,11.970622,562200,BRO
2/22/2007,14.175,14.26,14.105,14.165,11.991794,544000,BRO
2/23/2007,14.125,14.145,13.975,14.135,11.966393,626400,BRO
2/26/2007,14.225,14.385,14.215,14.35,12.148404,1114200,BRO
2/27/2007,14.25,14.29,14.015,14.06,11.902898,1139600,BRO
2/28/2007,14.095,14.12,13.945,14.075,11.915595,1011000,BRO
3/1/2007,13.94,14.04,13.75,13.965,11.822475,1091400,BRO
3/2/2007,13.915,13.97,13.76,13.81,11.691254,1107000,BRO
3/5/2007,13.75,14.055,13.72,13.95,11.809774,1626200,BRO
3/6/2007,14,14.13,13.945,14.1,11.93676,1485000,BRO
3/7/2007,14.095,14.095,13.88,13.925,11.788609,985200,BRO
3/8/2007,13.985,14.06,13.905,13.99,11.84364,797000,BRO
3/9/2007,14.065,14.085,13.95,13.985,11.839403,1197000,BRO
3/12/2007,13.99,14.035,13.91,14.015,11.864801,680000,BRO
3/13/2007,13.955,13.985,13.715,13.745,11.636228,936200,BRO
3/14/2007,13.715,14.125,13.505,13.78,11.665854,1090800,BRO
3/15/2007,13.745,13.935,13.72,13.885,11.754745,1051400,BRO
3/16/2007,13.875,14.125,13.775,13.815,11.695486,1121200,BRO
3/19/2007,13.885,14,13.79,13.88,11.750516,1317400,BRO
3/20/2007,13.89,14.02,13.845,13.975,11.830939,1179200,BRO
3/21/2007,13.965,14.02,13.8,13.965,11.822475,910000,BRO
3/22/2007,14,14.05,13.815,13.87,11.742046,1175800,BRO
3/23/2007,13.89,13.925,13.665,13.735,11.627757,1808600,BRO
3/26/2007,13.785,13.835,13.65,13.75,11.640454,944000,BRO
3/27/2007,13.7,13.715,13.57,13.6,11.513472,734200,BRO
3/28/2007,13.575,13.64,13.35,13.55,11.471138,955600,BRO
3/29/2007,13.6,13.61,13.355,13.51,11.437281,1584200,BRO
3/30/2007,13.495,13.565,13.38,13.525,11.449979,1024400,BRO
4/2/2007,13.545,13.545,13.13,13.325,11.280662,1961600,BRO
4/3/2007,13.355,13.62,13.355,13.595,11.509241,1653200,BRO
4/4/2007,13.615,13.695,13.45,13.54,11.462678,1336200,BRO
4/5/2007,13.55,13.645,13.485,13.595,11.509241,715600,BRO
4/9/2007,13.585,13.625,13.565,13.575,11.492308,770000,BRO
4/10/2007,13.58,13.64,13.55,13.575,11.492308,504600,BRO
4/11/2007,13.55,13.565,13.39,13.505,11.433046,1446400,BRO
4/12/2007,13.5,13.555,13.485,13.525,11.449979,719000,BRO
4/13/2007,13.525,13.565,13.43,13.51,11.437281,754600,BRO
4/16/2007,13.94,14.23,13.715,14.09,11.928295,1869000,BRO
4/17/2007,14.155,14.215,14.015,14.045,11.890197,1111200,BRO
4/18/2007,14,14.24,14,14.18,12.004485,1005600,BRO
4/19/2007,14.07,14.155,14.005,14.075,11.915595,725000,BRO
4/20/2007,14.19,14.245,14.095,14.235,12.051046,1040600,BRO
4/23/2007,14.16,14.295,13.99,14.06,11.902898,1031400,BRO
4/24/2007,13.225,13.465,12.845,13.085,11.077485,4871400,BRO
4/25/2007,13.09,13.255,12.92,13.145,11.128281,4531000,BRO
4/26/2007,13.175,13.18,13,13.12,11.107111,2276000,BRO
4/27/2007,13.075,13.14,12.995,13.02,11.022456,2138200,BRO
4/30/2007,13,13.065,12.845,12.875,10.899704,1965800,BRO
5/1/2007,12.785,12.875,12.615,12.85,10.878537,1777800,BRO
5/2/2007,12.805,13.265,12.73,13.205,11.179074,2811800,BRO
5/3/2007,13.23,13.275,13.045,13.205,11.179074,1693800,BRO
5/4/2007,13.21,13.275,13.115,13.205,11.179074,1193600,BRO
5/7/2007,13.175,13.32,13.085,13.11,11.123921,1052600,BRO
5/8/2007,13.035,13.105,13,13.075,11.094226,934400,BRO
5/9/2007,13.025,13.095,12.97,12.99,11.0221,2298800,BRO
5/10/2007,12.98,12.985,12.855,12.96,10.996645,1280600,BRO
5/11/2007,13.025,13.025,12.855,12.95,10.988155,1141600,BRO
5/14/2007,12.98,12.985,12.845,12.9,10.945731,1504000,BRO
5/15/2007,12.825,12.885,12.71,12.755,10.822698,1818400,BRO
5/16/2007,12.77,12.84,12.7,12.76,10.826942,1082600,BRO
5/17/2007,12.58,12.835,12.58,12.795,10.85664,1584200,BRO
5/18/2007,12.8,12.87,12.75,12.795,10.85664,565000,BRO
5/21/2007,12.78,12.875,12.775,12.865,10.916036,961400,BRO
5/22/2007,12.84,12.89,12.74,12.875,10.92452,1286400,BRO
5/23/2007,12.89,12.925,12.81,12.87,10.920277,1170000,BRO
5/24/2007,12.825,12.895,12.78,12.88,10.928761,1409200,BRO
5/25/2007,12.825,12.92,12.81,12.82,10.877855,579600,BRO
5/29/2007,12.85,12.9,12.775,12.81,10.869369,1002200,BRO
5/30/2007,12.77,12.9,12.755,12.9,10.945731,1934200,BRO
5/31/2007,13.165,13.165,12.89,13.03,11.056039,1084600,BRO
6/1/2007,13.045,13.045,12.885,12.975,11.009371,1291000,BRO
6/4/2007,12.905,13.005,12.86,12.99,11.0221,1279000,BRO
6/5/2007,12.925,13,12.9,12.975,11.009371,685600,BRO
6/6/2007,12.935,13.01,12.935,12.975,11.009371,1150800,BRO
6/7/2007,12.905,12.95,12.82,12.82,10.877855,1557000,BRO
6/8/2007,12.82,12.905,12.785,12.85,10.90331,1249400,BRO
6/11/2007,12.845,12.975,12.82,12.975,11.009371,1674000,BRO
6/12/2007,12.93,13.02,12.905,12.905,10.949974,1866600,BRO
6/13/2007,12.945,13,12.83,12.9,10.945731,1474200,BRO
6/14/2007,12.86,12.935,12.825,12.855,10.907551,700600,BRO
6/15/2007,12.9,12.975,12.79,12.8,10.860883,1264200,BRO
6/18/2007,12.845,12.965,12.8,12.91,10.954221,803800,BRO
6/19/2007,12.875,12.975,12.875,12.93,10.971187,709200,BRO
6/20/2007,12.925,12.97,12.845,12.87,10.920277,1007000,BRO
6/21/2007,12.85,13,12.85,12.955,10.992402,926200,BRO
6/22/2007,12.925,12.98,12.86,12.92,10.962701,1548600,BRO
6/25/2007,12.915,12.99,12.875,12.95,10.988155,1131600,BRO
6/26/2007,13,13,12.925,12.935,10.975429,1604800,BRO
6/27/2007,12.875,12.99,12.85,12.945,10.983915,1394800,BRO
6/28/2007,12.925,12.99,12.825,12.825,10.882095,1146400,BRO
6/29/2007,12.85,12.92,12.515,12.57,10.665727,1716000,BRO
7/2/2007,12.625,12.635,12.47,12.61,10.699665,1334000,BRO
7/3/2007,12.605,12.655,12.525,12.59,10.682696,379200,BRO
7/5/2007,12.605,12.63,12.535,12.56,10.657241,1013400,BRO
7/6/2007,12.59,12.745,12.56,12.745,10.814213,877200,BRO
7/9/2007,12.745,12.745,12.61,12.635,10.72088,1448400,BRO
7/10/2007,12.565,12.575,12.43,12.43,10.546933,894800,BRO
7/11/2007,12.41,12.47,12.325,12.47,10.580877,1175800,BRO
7/12/2007,12.53,12.68,12.48,12.68,10.759061,949600,BRO
7/13/2007,12.655,12.71,12.59,12.705,10.780272,556000,BRO
7/16/2007,12.645,12.645,12.505,12.535,10.636029,977000,BRO
7/17/2007,12.515,12.55,12.44,12.44,10.555419,839000,BRO
7/18/2007,12.4,12.535,12.33,12.535,10.636029,1202200,BRO
7/19/2007,12.57,12.635,12.45,12.6,10.691182,1368200,BRO
7/20/2007,12.58,12.615,12.445,12.525,10.627542,1529800,BRO
7/23/2007,12.59,12.74,12.54,12.645,10.729362,1295600,BRO
7/24/2007,12.875,13.245,12.745,12.96,10.996645,3354600,BRO
7/25/2007,13.1,13.27,13.05,13.24,11.23423,2395000,BRO
7/26/2007,13.25,13.25,12.845,13.105,11.119677,2590800,BRO
7/27/2007,13.065,13.18,12.86,13.025,11.051795,1672000,BRO
7/30/2007,12.995,13.075,12.875,12.98,11.013613,1410200,BRO
7/31/2007,13.01,13.15,12.805,12.85,10.90331,1529800,BRO
8/1/2007,12.79,13.08,12.725,13.05,11.073009,2253200,BRO
8/2/2007,13.04,13.1,12.885,13.06,11.081492,1956400,BRO
8/3/2007,12.995,13.045,12.65,12.65,10.733607,1520600,BRO
8/6/2007,12.97,13.365,12.64,13.365,11.367245,1592000,BRO
8/7/2007,13.265,13.87,13.135,13.775,11.715961,2525200,BRO
8/8/2007,13.56,14.575,13.56,14.045,11.945601,2993200,BRO
8/9/2007,13.85,14.055,13.55,13.875,11.801017,2882200,BRO
8/10/2007,13.53,14.01,12.82,13.105,11.146108,3774200,BRO
8/13/2007,13.22,13.265,12.92,13.175,11.205648,1609400,BRO
8/14/2007,13.135,13.43,12.86,12.87,10.946236,1051600,BRO
8/15/2007,12.82,13.395,12.82,12.98,11.039794,1342000,BRO
8/16/2007,12.945,13.185,12.5,13,11.056806,1762800,BRO
8/17/2007,13.335,13.48,12.925,13.12,11.158863,1386800,BRO
8/20/2007,13.12,13.39,13.08,13.285,11.299204,900200,BRO
8/21/2007,13.2,13.425,13.03,13.335,11.341733,1124200,BRO
8/22/2007,13.5,13.755,13.42,13.655,11.613896,1244200,BRO
8/23/2007,13.665,13.75,13.09,13.155,11.188637,1345600,BRO
8/24/2007,13.11,13.22,12.95,13.22,11.243921,857600,BRO
8/27/2007,13.115,13.39,13.035,13.31,11.32047,839800,BRO
8/28/2007,13.255,13.325,13.105,13.105,11.146108,674600,BRO
8/29/2007,13.18,13.435,13.095,13.435,11.426785,714400,BRO
8/30/2007,13.42,13.565,13.32,13.42,11.414025,883200,BRO
8/31/2007,13.58,13.58,13.41,13.46,11.44805,811400,BRO
9/4/2007,13.43,13.625,13.4,13.54,11.516085,985800,BRO
9/5/2007,13.42,13.575,13.22,13.525,11.503332,590400,BRO
9/6/2007,13.53,13.54,13.315,13.48,11.465056,454600,BRO
9/7/2007,13.355,13.535,13.125,13.18,11.209903,992600,BRO
9/10/2007,13.235,13.32,13.06,13.185,11.214154,521600,BRO
9/11/2007,13.285,13.5,13.185,13.455,11.44379,788000,BRO
9/12/2007,13.5,13.69,13.255,13.28,11.294953,574800,BRO
9/13/2007,13.375,13.43,13.085,13.34,11.345984,547200,BRO
9/14/2007,13.225,13.405,13.195,13.37,11.371499,388600,BRO
9/17/2007,13.35,13.425,13.3,13.325,11.333227,696000,BRO
9/18/2007,13.425,13.6,13.22,13.575,11.545861,480600,BRO
9/19/2007,13.585,13.615,13.33,13.34,11.345984,1136800,BRO
9/20/2007,13.255,13.275,13.135,13.16,11.192892,530600,BRO
9/21/2007,13.275,13.32,13.075,13.085,11.129098,1205600,BRO
9/24/2007,13.09,13.27,12.925,13.13,11.167377,1832600,BRO
9/25/2007,13.04,13.1,13,13.04,11.090826,1094200,BRO
9/26/2007,13.04,13.265,13.02,13.2,11.226912,1054400,BRO
9/27/2007,13.27,13.4,13.27,13.3,11.311964,927000,BRO
9/28/2007,13.34,13.34,13.145,13.15,11.184384,857000,BRO
10/1/2007,13.15,13.15,12.895,12.95,11.014277,1781000,BRO
10/2/2007,12.92,13.09,12.915,13,11.056806,1038600,BRO
