Date,Open,High,Low,Close,Adj Close,Volume
2014-05-29,17.490000,17.490000,17.490000,17.490000,5.475246,100
2014-05-30,17.750000,21.000000,17.750000,21.000000,6.574053,2100
2014-06-02,21.000000,22.000000,21.000000,21.600000,6.761885,145700
2014-06-03,21.420000,22.344999,20.459999,20.660000,6.467616,3111000
2014-06-04,20.059999,20.650000,17.080000,17.379999,5.440813,869000
2014-06-05,17.340000,18.490000,16.850000,18.100000,5.666207,190800
2014-06-06,18.280001,18.490000,17.469999,17.670000,5.531597,177200
2014-06-09,17.670000,17.900000,17.250000,17.320000,5.422028,186200
2014-06-10,17.150000,17.250000,16.850000,17.000000,5.321854,240500
2014-06-11,17.000000,17.559999,16.750000,16.860001,5.278027,123900
2014-06-12,16.740000,16.900000,16.320000,16.690001,5.224808,240100
2014-06-13,16.840000,17.500000,16.440001,17.250000,5.400116,80300
2014-06-16,17.250000,17.872000,16.770000,17.590000,5.506553,85000
2014-06-17,17.680000,18.250000,17.059999,18.000000,5.634904,116500
2014-06-18,17.959999,18.290001,17.299999,18.200001,5.697512,76000
2014-06-19,18.360001,18.510000,18.020000,18.270000,5.719427,179100
2014-06-20,18.440001,19.240000,18.260000,19.120001,5.985520,348500
2014-06-23,19.320000,19.590000,18.700001,18.860001,5.904127,121100
2014-06-24,18.930000,19.190001,18.760000,18.809999,5.888474,156900
2014-06-25,18.740000,19.202000,18.270000,19.160000,5.998041,89300
2014-06-26,19.080000,19.209999,18.540001,19.020000,5.954215,57600
2014-06-27,18.879999,19.290001,18.620001,19.260000,6.029345,238100
2014-06-30,19.280001,19.870001,19.010000,19.799999,6.198393,167300
2014-07-01,19.969999,20.200001,19.780001,19.820000,6.204655,294900
2014-07-02,19.820000,20.200001,19.570000,19.809999,6.201525,154900
2014-07-03,19.889999,20.150000,19.350000,19.900000,6.229698,32600
2014-07-07,19.860001,20.155001,19.344999,19.530001,6.113869,134100
2014-07-08,19.549999,19.940001,18.600000,19.120001,5.985520,118300
2014-07-09,19.139999,19.299999,18.620001,19.000000,5.947954,67500
2014-07-10,18.639999,19.000000,18.020000,18.530001,5.800820,123000
2014-07-11,18.459999,18.500000,18.059999,18.200001,5.697512,93300
2014-07-14,18.400000,18.540001,18.030001,18.219999,5.703774,120600
2014-07-15,18.129999,18.500000,17.500000,17.590000,5.506553,75300
2014-07-16,17.719999,18.445999,17.190001,17.680000,5.534726,102900
2014-07-17,17.540001,17.756001,17.100000,17.459999,5.465857,109000
2014-07-18,17.290001,18.309999,17.290001,18.010000,5.638033,98700
2014-07-21,17.799999,18.180000,17.500000,17.740000,5.553511,76800
2014-07-22,17.950001,18.000000,17.590000,17.860001,5.591076,75800
2014-07-23,17.840000,17.980000,17.549999,17.700001,5.540989,59100
2014-07-24,17.740000,18.000000,17.549999,17.590000,5.506553,59400
2014-07-25,17.500000,17.719999,17.500000,17.680000,5.534726,103900
2014-07-28,17.629999,17.990000,17.610001,17.809999,5.575424,80000
2014-07-29,17.799999,17.959999,17.400000,17.490000,5.475246,223800
2014-07-30,17.549999,17.879999,17.299999,17.330000,5.425159,58100
2014-07-31,17.299999,17.830000,17.020000,17.059999,5.340635,118600
2014-08-01,17.110001,17.305000,16.400000,16.650000,5.212285,105200
2014-08-04,16.780001,17.280001,16.100000,16.309999,5.105848,119900
2014-08-05,16.230000,16.660000,15.070000,15.460000,4.839756,157700
2014-08-06,15.350000,15.758000,15.020000,15.190000,4.755231,48300
2014-08-07,15.300000,15.420000,14.670000,15.230000,4.767754,112300
2014-08-08,15.220000,15.410000,14.610000,15.290000,4.786537,62600
2014-08-11,15.330000,15.740000,14.940000,15.230000,4.767754,79700
2014-08-12,15.200000,15.580000,15.020000,15.430000,4.830365,61700
2014-08-13,15.180000,15.930000,15.180000,15.680000,4.908627,60500
2014-08-14,16.000000,16.780001,15.970000,16.160000,5.058890,91400
2014-08-15,16.450001,16.930000,16.200001,16.889999,5.287417,104200
2014-08-18,17.110001,17.500000,16.809999,17.350000,5.431420,79200
2014-08-19,17.320000,17.750000,17.320000,17.610001,5.512815,229900
2014-08-20,17.520000,17.900000,17.510000,17.629999,5.519075,39400
2014-08-21,17.580000,17.900000,17.400000,17.500000,5.478378,73000
2014-08-22,17.420000,17.840000,17.379999,17.580000,5.503422,71600
2014-08-25,17.719999,17.719999,17.250000,17.500000,5.478378,53800
2014-08-26,17.459999,17.750000,17.350000,17.520000,5.484640,57300
2014-08-27,17.309999,17.629999,17.309999,17.510000,5.481508,76700
2014-08-28,17.430000,17.740000,17.410000,17.610001,5.512815,83300
2014-08-29,17.709999,17.740000,17.459999,17.469999,5.468986,74200
2014-09-02,17.549999,17.709999,17.309999,17.469999,5.468986,113100
2014-09-03,17.500000,17.740000,17.200001,17.320000,5.422028,65300
2014-09-04,17.730000,17.730000,17.330000,17.350000,5.431420,36800
2014-09-05,17.240000,17.520000,17.215000,17.360001,5.434552,37400
2014-09-08,17.280001,17.680000,17.280001,17.629999,5.519075,46700
2014-09-09,17.559999,17.700001,17.190001,17.260000,5.403245,29800
2014-09-10,17.209999,17.590000,17.209999,17.469999,5.468986,63300
2014-09-11,17.360001,17.549999,16.719999,17.030001,5.331244,57800
2014-09-12,17.049999,17.110001,16.389999,16.590000,5.193504,43700
2014-09-15,16.549999,16.799999,15.920000,15.930000,4.986888,29900
2014-09-16,15.840000,16.000000,15.440000,15.460000,4.839756,169500
2014-09-17,15.480000,16.049999,14.760000,15.130000,4.736448,349600
2014-09-18,15.160000,15.540000,14.920000,15.260000,4.777145,227300
2014-09-19,15.300000,15.840000,15.020000,15.300000,4.789669,418300
2014-09-22,15.120000,15.380000,14.920000,15.140000,4.739580,154500
2014-09-23,15.020000,15.250000,14.710000,14.830000,4.642534,165000
2014-09-24,14.840000,14.910000,14.600000,14.680000,4.595577,79800
2014-09-25,14.700000,14.700000,14.213000,14.510000,4.542359,69700
2014-09-26,14.490000,14.720000,14.230000,14.310000,4.479749,221000
2014-09-29,14.190000,14.500000,14.001000,14.300000,4.476617,125600
2014-09-30,14.260000,14.390000,14.010000,14.300000,4.476617,189500
2014-10-01,14.250000,14.350000,13.950000,14.100000,4.414008,100300
2014-10-02,14.320000,14.350000,14.000000,14.140000,4.426531,47800
2014-10-03,14.340000,14.340000,14.050000,14.090000,4.410877,60700
2014-10-06,14.080000,14.110000,13.900000,14.000000,4.382702,38300
2014-10-07,13.920000,14.100000,13.800000,13.860000,4.338875,37400
2014-10-08,13.850000,13.930000,13.510000,13.840000,4.332615,76000
2014-10-09,13.790000,13.830000,13.530000,13.680000,4.282526,71800
2014-10-10,13.580000,13.750000,13.400000,13.430000,4.204264,117600
2014-10-13,13.400000,14.130000,13.400000,14.020000,4.388964,143800
2014-10-14,14.090000,14.950000,14.000000,14.650000,4.586185,153100
2014-10-15,14.510000,14.600000,14.370000,14.510000,4.542359,139600
2014-10-16,13.810000,14.650000,13.800000,14.390000,4.504790,96300
2014-10-17,15.500000,15.955000,14.420000,14.680000,4.595577,210200
2014-10-20,14.720000,15.090000,14.470000,14.790000,4.630012,145300
2014-10-21,14.810000,15.140000,14.560000,14.690000,4.598706,247900
