Date,Open,High,Low,Close,Adj Close,Volume
1/3/2007,8.65,8.9,8.65,8.75,8.665471,49150
1/4/2007,8.79,8.79,8.4,8.4,8.318851,59492
1/5/2007,8.3,8.78,8.02,8.63,8.546631,88682
1/8/2007,8.34,8.63,8.29,8.43,8.348561,31650
1/9/2007,8.42,8.42,8.18,8.21,8.130687,42350
1/10/2007,8.16,8.17,7.85,7.91,7.833585,51400
1/11/2007,7.63,8.06,7.63,7.95,7.873199,57161
1/12/2007,8.02,8.4,7.99,8.34,8.259432,44920
1/16/2007,8.65,8.7,8.25,8.25,8.1703,64736
1/17/2007,8.12,8.25,8,8.12,8.041555,43550
1/18/2007,8.13,8.13,7.88,7.9,7.823682,23050
1/19/2007,7.93,8.2,7.93,8.02,7.942523,10123
1/22/2007,7.86,8.25,7.85,8.05,7.972232,35564
1/23/2007,8.2,8.38,8.06,8.37,8.289142,188351
1/24/2007,8.4,8.58,8.25,8.48,8.398079,17071
1/25/2007,8.72,8.79,8.61,8.65,8.566436,104588
1/26/2007,8.62,8.72,8.62,8.65,8.566436,20990
1/29/2007,8.66,9,8.66,8.91,8.823923,114183
1/30/2007,8.9,8.9,8.7,8.75,8.665471,27900
1/31/2007,8.71,8.81,8.65,8.65,8.566436,40000
2/1/2007,8.74,8.74,8.62,8.62,8.536728,7460
2/2/2007,8.68,8.68,8.56,8.61,8.526822,37250
2/5/2007,8.61,8.78,8.6,8.75,8.665471,83450
2/6/2007,9.08,9.4,9.08,9.18,9.091314,236525
2/7/2007,9.32,9.32,9.17,9.28,9.190349,86800
2/8/2007,9.26,9.42,9.15,9.42,9.328998,106471
2/9/2007,9.36,9.36,9,9.3,9.210157,153390
2/12/2007,9.25,9.25,9.1,9.2,9.111123,151922
2/13/2007,9.15,9.35,9.15,9.3,9.210157,161022
2/14/2007,9.4,9.49,9.3,9.4,9.309192,173608
2/15/2007,9.44,9.61,9.3,9.39,9.299287,98933
2/16/2007,9.41,9.6,9.4,9.55,9.45774,144100
2/20/2007,9.89,10.45,9.81,10.26,10.160882,193110
2/21/2007,9.86,10.25,9.86,10.12,10.022234,182964
2/22/2007,10.23,10.23,9.85,10.02,9.923203,72388
2/23/2007,10,10.15,9.95,10.03,9.933105,61950
2/26/2007,10,10.15,9.95,10.12,10.022234,61950
2/27/2007,9.9,10,9.67,9.77,9.675618,79980
2/28/2007,9.73,10.18,9.66,10.05,9.952913,63214
3/1/2007,9.8,10.24,9.7,10,9.903394,113300
3/2/2007,9.9,10.49,9.82,10,9.903394,290710
3/5/2007,9.76,10.12,9.5,9.85,9.754845,43210
3/6/2007,10.15,10.15,9.91,10,9.903394,24048
3/7/2007,10.1,10.1,9.7,9.7,9.606293,92084
3/8/2007,9.7,10.2,9.7,10,9.903394,50900
3/9/2007,9.95,9.95,9.8,9.8,9.705327,9022
3/12/2007,10,10.02,9.86,9.96,9.86378,15700
3/13/2007,10,10.15,9.11,9.52,9.428032,51565
3/14/2007,9.35,9.57,8.84,9.34,9.24977,92176
3/15/2007,9.26,10.12,9.26,9.8,9.705327,198770
3/16/2007,9.75,9.75,9.2,9.42,9.328998,122250
3/19/2007,9.4,9.5,9,9.47,9.378514,79865
3/20/2007,9.4,9.5,9.35,9.45,9.358709,177600
3/21/2007,9.45,9.48,9.27,9.48,9.388418,32940
3/22/2007,9.6,9.6,9.31,9.31,9.220061,67950
3/23/2007,9.25,9.3,8.75,9.2,9.111123,112886
3/26/2007,9,9.13,8.75,9.03,8.942765,146383
3/27/2007,9,9.39,9,9.25,9.16064,112411
3/28/2007,9.35,9.35,8.9,9.1,9.012089,180956
3/29/2007,9.14,9.5,8.97,9.45,9.358709,285572
3/30/2007,9.5,10.09,9.46,9.89,9.794458,323191
4/2/2007,9.94,10.5,9.83,10.15,10.051946,229444
4/3/2007,10.28,10.84,10.2,10.7,10.596631,230542
4/4/2007,10.77,11.14,10.6,10.85,10.745184,415180
4/5/2007,11,11.25,10.61,11.2,11.091802,158038
4/9/2007,11.25,11.5,11.25,11.34,11.230448,77143
4/10/2007,11.35,11.44,11.02,11.35,11.240353,182603
4/11/2007,11.35,11.45,10.65,10.75,10.64615,396559
4/12/2007,10.84,11.15,10.08,11.04,10.933348,125780
4/13/2007,11.04,11.3,10.83,11.26,11.151221,231976
4/16/2007,11.33,12.07,11.32,11.9,11.785039,404080
4/17/2007,12.5,13.19,12.08,13.19,13.062577,608537
4/18/2007,13.44,13.44,11.76,12.5,12.379244,587277
4/19/2007,12.3,13.7,12.25,13.63,13.498327,316482
4/20/2007,13.78,13.8,13.4,13.6,13.468616,196925
4/23/2007,13.55,13.55,12.8,13.1,12.973447,127196
4/24/2007,13.11,13.25,12.84,13.05,12.92393,161418
4/25/2007,12.95,13.15,12.51,12.52,12.39905,309105
4/26/2007,12.6,12.93,12.5,12.68,12.557506,202443
4/27/2007,13.04,13.04,12.61,12.82,12.696152,115066
4/30/2007,13.24,13.25,12.64,13.05,12.92393,211341
5/1/2007,13.02,13.2,12.75,13,12.874413,222520
5/2/2007,13,13.45,12.84,13.07,12.943735,216071
5/3/2007,13.1,13.5,13.1,13.5,13.369582,96801
5/4/2007,13.5,13.7,13.06,13.15,13.022962,171609
5/7/2007,13.35,13.59,13.23,13.56,13.429004,104789
5/8/2007,13.45,14.42,13.4,14.2,14.06282,150965
5/9/2007,14.09,14.32,14,14.23,14.092529,125615
5/10/2007,14.02,14.16,13.65,13.92,13.785525,133325
5/11/2007,14,14.02,13.68,13.86,13.726104,93464
5/14/2007,13.57,13.87,13.44,13.65,13.518133,56358
5/15/2007,13.9,13.98,13.09,13.7,13.56765,91329
5/16/2007,13.85,14.24,13.7,14.1,13.963788,98924
5/17/2007,14.25,14.25,13.7,13.87,13.736008,57310
5/18/2007,13.64,13.8,13.42,13.64,13.50823,89865
5/21/2007,13.64,13.64,13.64,13.64,13.50823,0
5/22/2007,13.52,13.95,12.93,13.31,13.181417,201154
5/23/2007,13.44,13.44,12.94,12.98,12.854607,111849
5/24/2007,12.95,12.95,12.5,12.61,12.48818,225562
5/25/2007,12.6,12.71,12.5,12.59,12.468374,130608
5/29/2007,12.75,12.75,12.06,12.26,12.141562,203415
5/30/2007,12.35,12.64,12.15,12.58,12.458471,204118
5/31/2007,12.55,12.65,12.5,12.53,12.408954,81774
6/1/2007,12.55,12.82,12.5,12.53,12.408954,70715
6/4/2007,12.52,12.86,12.5,12.64,12.517892,104915
6/5/2007,12.53,12.85,12.5,12.57,12.448567,43820
6/6/2007,12.5,12.7,12.5,12.6,12.478276,43600
6/7/2007,12.61,12.63,12.5,12.52,12.39905,74445
6/8/2007,12.57,12.61,12.4,12.51,12.389148,162558
6/11/2007,12.55,13.01,12.5,12.5,12.379244,138852
6/12/2007,12.5,13.25,12.5,12.66,12.537697,165520
6/13/2007,12.85,13.19,12.67,12.92,12.795186,130450
6/14/2007,12.8,13.45,12.78,13.36,13.230935,126103
6/15/2007,13.5,13.69,13.27,13.4,13.270548,288697
6/18/2007,13.35,13.55,12.95,13.26,13.131902,63321
6/19/2007,13.31,13.45,13.13,13.15,13.022962,40425
6/20/2007,13.2,13.2,12.8,13.12,12.993253,23736
6/21/2007,12.83,13.1,12.83,13.03,12.904122,18270
6/22/2007,12.81,13.04,12.64,12.72,12.597119,39125
6/25/2007,12.52,12.67,12.25,12.28,12.161367,72378
6/26/2007,12.25,12.4,11.89,12.38,12.260404,114633
6/27/2007,12.24,12.4,11.99,11.99,11.87417,192317
6/28/2007,12.01,12.31,11.99,12.1,11.983108,132975
6/29/2007,12.02,12.07,11.83,11.9,11.785039,62928
7/2/2007,11.9,11.9,11.9,11.9,11.785039,0
7/3/2007,11.81,11.98,11.59,11.69,11.577067,70586
7/5/2007,11.45,11.6,11.35,11.4,11.28987,141500
7/6/2007,11.49,11.92,11.32,11.84,11.725619,317631
7/9/2007,11.95,12.47,11.82,11.92,11.804846,126672
7/10/2007,12.14,12.18,11.86,12,11.884073,102747
7/11/2007,11.95,12.34,11.95,12.29,12.171272,53662
7/12/2007,12.58,12.58,12.35,12.49,12.369341,68359
7/13/2007,12.69,13.5,12.6,13.39,13.260645,143772
7/16/2007,13.58,13.7,13.1,13.27,13.141805,133145
7/17/2007,13.35,13.41,13.12,13.12,12.993253,46705
7/18/2007,13.25,13.35,13.1,13.18,13.052675,68547
7/19/2007,13.2,13.71,13.12,13.62,13.488423,227261
7/20/2007,13.8,14.19,13.71,14.17,14.03311,132453
7/23/2007,14.21,14.21,14.01,14.01,13.874656,90641
7/24/2007,14.22,14.22,13.1,13.7,13.56765,116420
7/25/2007,12.93,13.61,12.85,13.42,13.290356,140811
7/26/2007,13.49,13.69,12.65,13.21,13.082385,171978
7/27/2007,12.79,13.36,12.75,13.21,13.082385,66794
7/30/2007,13.2,13.49,12.89,13.28,13.151709,41228
7/31/2007,13.39,13.44,13.22,13.43,13.300258,39656
8/1/2007,12.92,13.36,12.92,13.26,13.131902,56816
8/2/2007,13.16,13.6,13.16,13.51,13.379487,72938
8/3/2007,13.35,13.49,13.14,13.15,13.022962,20737
8/6/2007,13.15,13.15,13.15,13.15,13.022962,0
8/7/2007,13.11,13.45,12.96,13.06,12.933833,44642
8/8/2007,13.19,13.19,12.9,13.1,12.973447,36300
8/9/2007,13,13,12.43,12.66,12.537697,120630
8/10/2007,12.06,12.4,11.65,12.23,12.111851,98981
8/13/2007,12.25,12.61,12.04,12.26,12.141562,28800
8/14/2007,12.14,12.15,11.31,11.31,11.200739,58921
8/15/2007,11.4,11.4,10.64,10.64,10.537211,66524
8/16/2007,9.33,10.2,9.23,9.54,9.447838,228501
8/17/2007,10.3,11.2,9.4,9.5,9.408223,139519
8/20/2007,9.5,10.45,8.86,9.41,9.319096,107567
8/21/2007,9.59,10,9.29,9.75,9.65581,66285
8/22/2007,9.8,10.06,9.8,9.86,9.764746,84998
8/23/2007,9.8,10.2,9.63,9.71,9.616197,78938
8/24/2007,9.85,10.13,9.78,10.13,10.03214,33050
8/27/2007,10.3,10.3,9.85,9.95,9.853877,46330
8/28/2007,9.87,10.13,9.78,9.82,9.725133,41094
8/29/2007,9.78,10.26,9.7,10.15,10.051946,56018
8/30/2007,10,10.79,10,10.36,10.259917,41411
8/31/2007,10.6,10.73,10.37,10.53,10.428274,38855
9/4/2007,10.22,10.86,10.22,10.66,10.557017,107946
9/5/2007,10.73,10.73,9.95,10.39,10.289628,37835
9/6/2007,10.95,12.25,10.55,11.85,11.735525,248130
9/7/2007,12.09,12.1,11.1,11.24,11.131416,80774
9/10/2007,11.5,12.36,11,11.35,11.240353,115332
9/11/2007,11.47,12.29,11.15,11.82,11.705812,159163
9/12/2007,11.94,12.14,11.63,12.09,11.973203,85178
9/13/2007,12,12,11.49,11.81,11.69591,59722
9/14/2007,11.87,12.25,11.34,11.52,11.408711,91500
9/17/2007,11.64,11.89,11.46,11.8,11.686006,63650
9/18/2007,11.8,12,11.5,11.99,11.87417,92207
9/19/2007,12.02,12.15,11.73,11.78,11.666199,76812
9/20/2007,12.05,12.39,11.95,12.2,12.082142,65686
9/21/2007,12.26,12.43,11.62,11.62,11.507744,84092
9/24/2007,11.75,12.09,11.74,12.09,11.973203,51631
