Date,Open,High,Low,Close,Adj Close,Volume
2007-05-01,66.900002,66.900002,45.000000,55.500000,54.653923,36200
2007-05-02,55.799999,60.299999,49.200001,56.099998,55.244774,26500
2007-05-03,57.599998,63.299999,52.799999,54.900002,54.063068,25500
2007-05-04,57.900002,57.900002,38.700001,39.900002,39.291740,21900
2007-05-07,39.900002,39.900002,26.400000,26.400000,25.997541,41600
2007-05-08,27.000000,27.900000,12.600000,15.300000,15.066757,99800
2007-05-09,16.799999,16.799999,12.900000,13.500000,13.294197,24400
2007-05-10,13.800000,19.200001,11.400000,19.200001,18.907303,69200
2007-05-11,21.000000,27.900000,21.000000,27.000000,26.588394,32700
2007-05-14,28.500000,32.400002,24.600000,28.500000,28.065527,29800
2007-05-15,28.200001,28.200001,22.500000,23.400000,23.043274,13500
2007-05-16,23.400000,25.200001,16.500000,22.200001,21.861568,10000
2007-05-17,22.200001,22.500000,20.100000,22.200001,21.861568,4000
2007-05-18,23.400000,23.400000,17.400000,19.500000,19.202728,8100
2007-05-21,21.900000,21.900000,18.000000,21.600000,21.270716,4700
2007-05-22,21.600000,21.900000,19.500000,21.000000,20.679863,4400
2007-05-23,21.000000,21.000000,19.500000,20.100000,19.793583,3100
2007-05-24,20.700001,20.700001,14.100000,15.300000,15.066757,19100
2007-05-25,16.500000,16.799999,14.400000,15.600000,15.362184,9900
2007-05-29,16.500000,18.600000,16.200001,16.200001,15.953037,10700
2007-05-30,17.100000,17.100000,14.400000,14.400000,14.180476,5700
2007-05-31,15.000000,15.300000,14.400000,15.000000,14.771330,1800
2007-06-01,15.000000,15.000000,12.300000,14.400000,14.180476,10100
2007-06-04,14.400000,14.400000,12.600000,12.900000,12.703343,1800
2007-06-05,12.600000,12.900000,11.100000,12.000000,11.817064,8300
2007-06-06,11.700000,12.000000,10.200000,11.400000,11.226211,5600
2007-06-07,10.200000,11.100000,9.000000,10.200000,10.044504,7300
2007-06-08,10.500000,10.500000,10.200000,10.500000,10.339931,2000
2007-06-11,10.500000,13.500000,10.500000,13.500000,13.294197,3700
2007-06-12,13.500000,13.500000,11.100000,11.100000,10.930784,2500
2007-06-13,11.400000,12.300000,11.100000,11.100000,10.930784,2900
2007-06-14,12.000000,12.000000,9.000000,9.300000,9.158225,4700
2007-06-15,11.400000,12.300000,9.900000,11.400000,11.226211,4000
2007-06-18,13.200000,19.500000,12.900000,16.200001,15.953037,12300
2007-06-19,17.700001,17.700001,15.600000,17.700001,17.430170,2700
2007-06-20,17.700001,17.700001,15.900000,15.900000,15.657610,700
2007-06-21,15.900000,16.500000,15.300000,16.500000,16.248463,2600
2007-06-22,15.300000,16.500000,15.300000,16.500000,16.248463,1200
2007-06-25,15.300000,16.500000,14.700000,16.200001,15.953037,1500
2007-06-26,15.600000,16.200001,14.700000,14.700000,14.475904,1900
2007-06-27,14.700000,16.200001,13.500000,15.900000,15.657610,200
2007-06-28,15.600000,15.900000,15.600000,15.900000,15.657610,700
2007-06-29,15.900000,15.900000,15.300000,15.600000,15.362184,800
2007-07-02,15.600000,15.600000,13.500000,15.000000,14.771330,1800
