Date,Open,High,Low,Close,Adj Close,Volume
2010-03-31,8.000000,8.170000,7.505000,7.540000,7.268539,15194200
2010-04-01,7.625000,7.745000,7.550000,7.560000,7.287818,1416200
2010-04-05,7.645000,7.645000,7.400000,7.525000,7.254078,1336200
2010-04-06,7.515000,7.645000,7.515000,7.645000,7.369758,391800
2010-04-07,7.630000,7.635000,7.550000,7.550000,7.278178,610000
2010-04-08,7.565000,7.875000,7.550000,7.860000,7.577017,640200
2010-04-09,7.805000,8.145000,7.700000,8.000000,7.711977,812800
2010-04-12,8.090000,8.285000,7.935000,8.255000,7.957796,498000
2010-04-13,8.150000,8.250000,8.000000,8.210000,7.914416,841400
2010-04-14,8.190000,8.320000,8.105000,8.225000,7.928877,246400
2010-04-15,8.225000,8.320000,8.125000,8.280000,7.981897,378600
2010-04-16,8.165000,8.595000,8.035000,8.500000,8.193976,403600
2010-04-19,8.500000,8.500000,8.200000,8.270000,7.972258,171400
2010-04-20,8.250000,8.460000,8.165000,8.240000,7.943336,235000
2010-04-21,8.265000,8.315000,8.175000,8.175000,7.880677,237600
2010-04-22,8.180000,8.260000,7.900000,8.005000,7.716797,362000
2010-04-23,7.985000,8.195000,7.955000,8.050000,7.760177,303000
2010-04-26,8.145000,8.305000,8.000000,8.225000,7.928877,291400
2010-04-27,7.955000,8.315000,7.955000,8.275000,7.977078,232200
2010-04-28,8.225000,8.325000,7.990000,8.260000,7.962616,198000
2010-04-29,8.300000,8.475000,8.165000,8.400000,8.097573,591800
2010-04-30,8.410000,8.475000,8.295000,8.390000,8.087934,328600
2010-05-03,8.350000,8.500000,8.110000,8.365000,8.063836,217000
2010-05-04,8.305000,8.420000,8.220000,8.320000,8.020452,564800
2010-05-05,8.260000,8.360000,8.050000,8.165000,7.871034,235600
2010-05-06,8.100000,8.180000,7.850000,7.950000,7.663776,255800
2010-05-07,7.985000,8.175000,7.615000,7.875000,7.591478,245200
2010-05-10,8.270000,8.270000,7.590000,7.655000,7.379398,559600
2010-05-11,7.710000,7.710000,7.225000,7.665000,7.389038,1133200
2010-05-12,7.720000,8.215000,7.720000,8.060000,7.769817,386000
2010-05-13,8.140000,8.400000,8.075000,8.355000,8.054196,496000
2010-05-14,8.265000,8.465000,8.250000,8.345000,8.044557,310800
2010-05-17,8.325000,8.385000,8.115000,8.235000,7.938516,206200
2010-05-18,8.250000,8.380000,8.240000,8.290000,7.991537,197000
2010-05-19,8.250000,8.325000,8.150000,8.170000,7.875857,115400
2010-05-20,8.100000,8.190000,7.675000,7.695000,7.417958,226800
2010-05-21,7.625000,7.810000,7.450000,7.525000,7.254078,145600
2010-05-24,7.505000,7.965000,7.500000,7.875000,7.591478,175400
2010-05-25,7.830000,7.925000,7.655000,7.835000,7.552918,140800
2010-05-26,7.855000,8.145000,7.850000,8.125000,7.832477,208400
2010-05-27,8.185000,8.250000,8.055000,8.245000,7.948156,234000
2010-05-28,8.185000,8.250000,7.780000,8.160000,7.866217,258000
2010-06-01,8.100000,8.215000,8.005000,8.175000,7.880677,187600
2010-06-02,8.105000,8.375000,8.100000,8.375000,8.073476,521200
2010-06-03,8.320000,8.495000,8.320000,8.390000,8.087934,354800
2010-06-04,8.330000,8.415000,8.125000,8.220000,7.924055,234000
2010-06-07,8.175000,8.245000,7.875000,8.095000,7.803557,507600
2010-06-08,8.065000,8.190000,8.050000,8.150000,7.856575,410400
2010-06-09,8.115000,8.250000,8.070000,8.115000,7.822835,127600
2010-06-10,8.180000,8.365000,8.100000,8.205000,7.909596,156400
2010-06-11,8.145000,8.375000,8.145000,8.375000,8.073476,56400
2010-06-14,8.380000,8.850000,8.320000,8.675000,8.362675,378000
2010-06-15,8.850000,9.120000,8.675000,9.000000,8.675974,450200
2010-06-16,9.000000,9.200000,8.975000,9.120000,8.791656,354000
2010-06-17,9.150000,9.205000,8.665000,8.775000,8.459074,217200
2010-06-18,8.835000,8.850000,8.255000,8.495000,8.189154,333400
2010-06-21,8.565000,8.800000,8.325000,8.330000,8.030098,191600
2010-06-22,8.305000,8.640000,8.045000,8.150000,7.856575,171200
2010-06-23,8.110000,8.245000,7.680000,8.045000,7.755358,531600
2010-06-24,8.045000,8.425000,7.900000,8.075000,7.784275,408400
2010-06-25,8.090000,8.335000,7.950000,8.280000,7.981897,3583200
2010-06-28,8.250000,8.540000,8.080000,8.445000,8.140954,284000
2010-06-29,8.375000,8.650000,8.100000,8.230000,7.933696,390000
2010-06-30,8.190000,8.455000,8.000000,8.015000,7.726438,199200
2010-07-01,8.055000,8.145000,7.965000,7.985000,7.697516,242000
2010-07-02,8.045000,8.310000,7.860000,8.235000,7.938516,255600
2010-07-06,8.305000,8.375000,8.110000,8.285000,7.986716,189600
2010-07-07,8.295000,8.620000,8.250000,8.580000,8.271094,599600
2010-07-08,8.620000,8.910000,8.335000,8.880000,8.560294,377000
2010-07-09,8.850000,9.140000,8.710000,9.100000,8.772374,333400
2010-07-12,9.095000,9.180000,9.040000,9.055000,8.728992,242800
2010-07-13,9.130000,9.130000,8.810000,8.815000,8.497634,837800
2010-07-14,8.770000,8.795000,8.385000,8.525000,8.218074,130800
2010-07-15,8.510000,8.510000,8.390000,8.465000,8.160236,139200
2010-07-16,8.375000,8.400000,8.045000,8.120000,7.827658,220800
2010-07-19,8.065000,8.365000,8.050000,8.240000,7.943336,156400
2010-07-20,8.155000,8.405000,8.110000,8.285000,7.986716,178000
2010-07-21,8.355000,8.490000,8.025000,8.030000,7.740896,95800
2010-07-22,8.155000,8.355000,8.145000,8.250000,7.952977,325200
