Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,20.887617,21.073729,20.465282,20.866142,15.568576,940600
2007-01-04,20.801718,20.987831,20.687187,20.901932,15.595278,618800
2007-01-05,20.866142,20.873301,20.293486,20.400860,15.221417,580300
2007-01-08,20.436649,20.436649,20.114531,20.207588,15.077221,868900
2007-01-09,20.221905,20.322119,20.014317,20.157480,15.039832,891100
2007-01-10,20.057266,20.279169,19.949892,20.178955,15.055853,1130100
2007-01-11,20.300644,20.644238,20.300644,20.572657,15.349600,447000
2007-01-12,20.529707,20.758768,20.357910,20.680029,15.429719,587500
2007-01-16,20.751610,20.916248,20.422333,20.515390,15.306874,582100
2007-01-17,20.579813,20.873301,20.572657,20.758768,15.488458,766500
2007-01-18,20.808876,20.887617,20.279169,20.322119,15.162672,921300
2007-01-19,20.336435,20.565498,20.236221,20.436649,15.248121,894600
2007-01-22,20.515390,20.529707,20.300644,20.314960,15.157331,696200
2007-01-23,20.379385,20.680029,20.243380,20.579813,15.354943,918100
2007-01-24,20.651396,20.873301,20.536865,20.858984,15.563231,535000
2007-01-25,20.873301,20.909090,20.257694,20.379385,15.205399,528200
2007-01-26,20.393702,20.479599,20.050108,20.221905,15.087893,681500
2007-01-29,20.257694,20.565498,20.207588,20.307802,15.151993,657200
2007-01-30,20.257694,20.808876,20.114531,20.307802,15.151993,1416200
2007-01-31,20.322119,20.515390,19.899786,20.479599,15.280169,1177800
2007-02-01,20.622763,21.030781,20.608446,20.952040,15.632658,866800
2007-02-02,20.952040,20.952040,20.544024,20.773085,15.499144,913600
2007-02-05,20.923407,20.987831,20.544024,20.858984,15.563231,782000
2007-02-06,20.959198,21.016464,20.751610,21.002148,15.670050,750300
2007-02-07,21.438797,21.488905,21.045097,21.209736,15.824939,1347600
2007-02-08,21.224052,21.224052,20.586971,20.851826,15.557890,1302700
2007-02-09,20.808876,20.830351,20.071583,20.264853,15.119940,2010400
2007-02-12,20.293486,20.715820,20.293486,20.651396,15.408352,1491200
2007-02-13,20.794559,21.009306,20.708662,20.909090,15.600616,1129700
2007-02-14,20.923407,20.959198,20.572657,20.923407,15.697281,707700
2007-02-15,20.937723,20.973515,20.773085,20.909090,15.686536,818700
2007-02-16,20.901932,20.901932,20.536865,20.801718,15.605993,600500
2007-02-20,20.866142,21.431639,20.830351,21.345741,16.014124,1029000
2007-02-21,21.259842,21.424480,21.052256,21.374374,16.035612,709800
2007-02-22,21.445955,21.445955,20.873301,20.952040,15.718766,716500
2007-02-23,20.837509,20.959198,20.694345,20.844667,15.638206,602800
2007-02-26,20.959198,20.959198,20.708662,20.880459,15.665061,587000
2007-02-27,20.529707,20.644238,20.071583,20.300644,15.230069,990100
2007-02-28,20.350752,20.701504,20.272011,20.458124,15.348209,933000
2007-03-01,20.186113,20.622763,20.186113,20.536865,15.407284,771400
2007-03-02,20.465282,20.479599,20.200430,20.243380,15.187111,628600
2007-03-05,20.107372,20.314960,19.634932,19.778095,14.838036,809800
2007-03-06,19.899786,20.830351,19.806728,20.572657,15.434139,3163500
2007-03-07,20.551182,20.930565,20.479599,20.637079,15.482467,961800
2007-03-08,20.866142,21.367216,20.758768,21.166786,15.879864,912600
2007-03-09,21.345741,21.417322,21.123837,21.267000,15.955061,821900
2007-03-12,21.252684,21.417322,20.994989,21.145311,15.863761,799000
2007-03-13,21.037939,21.037939,20.350752,20.536865,15.407284,1438600
2007-03-14,20.608446,20.901932,20.250536,20.608446,15.460988,2297900
2007-03-15,20.622763,20.923407,20.622763,20.758768,15.573767,841900
